draw,budget_tCO2,overshoot_tCO2,responsibility_share,equality_share,capability_share
2414,240353625.85574862,59646374.14479706,0.016497139117826413,0.007,0.015036566654566801
2415,231736730.14989224,68263269.85065344,0.016497139117826413,0.007,0.01677872562243287
2416,253637278.3851761,46362721.61536959,0.016497139117826413,0.007,0.016733081554710084
2417,246494725.7917606,53505274.20878509,0.016497139117826413,0.007,0.01622794327149748
2418,265392038.4038521,34607961.596693575,0.016497139117826413,0.007,0.016994954591730744
2419,257456048.16938564,42543951.83116004,0.016497139117826413,0.007,0.015394492451481065
2420,234016108.32790977,65983891.67263591,0.016497139117826413,0.007,0.015200519093488681
2421,243450191.06410623,56549808.936439455,0.016497139117826413,0.007,0.0167893972030491
2422,257720828.06785756,42279171.93268812,0.016497139117826413,0.007,0.016451885247497727
2423,216436172.05707666,83563827.94346902,0.016497139117826413,0.007,0.015301825258111437
2424,257731211.5040835,42268788.49646217,0.016497139117826413,0.007,0.0171463077128874
2425,235214995.53860018,64785004.461945504,0.016497139117826413,0.007,0.01608514992702827
2426,258313715.3308621,41686284.669683576,0.016497139117826413,0.007,0.0170478932208732
2427,242558664.03087068,57441335.969675004,0.016497139117826413,0.007,0.016324895904491817
2428,261577295.39129794,38422704.609247744,0.016497139117826413,0.007,0.01630752533201702
2429,251745583.90348768,48254416.097058,0.016497139117826413,0.007,0.015591242067728153
2430,274520714.933937,25479285.066608667,0.016497139117826413,0.007,0.017212151351827742
2431,245837324.1971165,54162675.80342919,0.016497139117826413,0.007,0.01693581151066238
2432,248166030.45508438,51833969.5454613,0.016497139117826413,0.007,0.01615655355549885
2433,273284162.765825,26715837.234720707,0.016497139117826413,0.007,0.018369435201938282
2434,249937296.6853136,50062703.31523207,0.016497139117826413,0.007,0.017440302413368258
